,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_SAT:FC_subj.S6,-0.012078125766914997,0.009121441383148562,-0.030324558192922735,-0.018151739827596835,-0.011968407545186445,-0.005803248633446403,0.0057768070798459685,0.00027752905542905825
t_SAT:FC_subj.S7,-0.008159959880813096,0.009618240234025847,-0.027432168767295914,-0.014489768196940289,-0.008137886949450125,-0.001743850576752918,0.010656116824380266,0.00020712491988529187
t_SAT:FC_subj.S8,0.013293099570133518,0.00903288321335756,-0.0041737125820278526,0.007140278179231513,0.013206542769255054,0.01930471903299673,0.0313709971990096,0.0002677882298948829
t_SAT:FC_subj.S9,7.642909967471614e-05,0.007360005039418982,-0.014712240364623154,-0.004792103264538239,9.720582334810188e-05,0.004959906800054338,0.014578838212114646,0.00021202537246715192
t_SAT:contrast,-0.008835870554955948,0.00396551856351923,-0.016546799788838343,-0.011476122431331065,-0.008859222081418741,-0.006233848235805202,-0.0009587094742819326,0.0001223102864090036
t_SAT:contrast_std,0.00992170555190749,0.004667158892268337,0.0016964294665254248,0.006739850740678982,0.009661145701036863,0.012765403780132993,0.020124388414594067,0.00023924611952361505
t_SAT:contrast_subj.S1,-0.010156580168259032,0.006714396494329768,-0.02392148866134168,-0.014385861060562563,-0.010043256510882836,-0.005835246641785967,0.003380091628984405,0.00016943826685731562
t_SAT:contrast_subj.S10,-0.011614101512563783,0.006696017250686935,-0.025698428470793344,-0.01572339947263013,-0.01132972057512887,-0.007175409717347602,0.001039312040335215,0.00016837664068566351
t_SAT:contrast_subj.S11,-0.006577495642107404,0.006669190409588902,-0.019248231477023935,-0.01092708676294118,-0.006769949244637013,-0.0024502719772094596,0.00734973239829196,0.00014617091937423673
t_SAT:contrast_subj.S12,-0.023902781958200815,0.009321167097001233,-0.04254353079933498,-0.030402581756867383,-0.02381077346516488,-0.01711883325125831,-0.006978925287225348,0.00045558547712539583
t_SAT:contrast_subj.S13,-0.006786525100413478,0.007378381362465262,-0.020193687918417795,-0.011644871426693784,-0.007254917094464926,-0.0021944758137982835,0.009042092765923656,0.0002789667039457446
t_SAT:contrast_subj.S14,-0.012643782218219119,0.007591858355088736,-0.028670303759453918,-0.017504939492159786,-0.012053541514927643,-0.007479613698566551,0.0010431410622112718,0.00022280085738521482
t_SAT:contrast_subj.S15,-0.008352566567976416,0.00805671155663727,-0.02410021787928044,-0.01338696917835032,-0.008484276171599234,-0.0034605338544266492,0.008235523213516928,0.00014577305082814543
t_SAT:contrast_subj.S16,-0.0054327990881158,0.006885858037562073,-0.01811630492439524,-0.010179524858208264,-0.005756887933180053,-0.0010561855266185381,0.008891747626401734,0.0001615872700360403
