,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
268,8,-6.8716,speed,5.0,left,v,data_S4.csv,0.0001
269,9,0.6805,speed,1.0,right,v,data_S4.csv,0.0001
270,10,-4.5087,speed,4.0,left,v,data_S4.csv,0.0001
271,11,7.8682,speed,5.0,right,v,data_S4.csv,0.0001
272,12,-2.1898,speed,3.0,left,v,data_S4.csv,0.0001
273,13,-0.6526,speed,2.0,left,v,data_S4.csv,0.0001
274,14,0.0489,speed,1.0,left,v,data_S4.csv,0.0001
275,15,2.9871,speed,3.0,right,v,data_S4.csv,0.0001
276,16,1.5247,speed,2.0,right,v,data_S4.csv,0.0001
277,17,1.1868,accuracy,,,a,data_S4.csv,0.0001
278,18,5.2906,accuracy,5.0,right,v,data_S4.csv,0.0001
279,19,0.1991,accuracy,,,t0,data_S4.csv,0.0001
280,20,0.0967,accuracy,,,szr,data_S4.csv,0.0001
281,21,2.9623,accuracy,3.0,right,v,data_S4.csv,0.0001
282,22,-4.4255,accuracy,4.0,left,v,data_S4.csv,0.0001
283,23,1.0445,accuracy,2.0,right,v,data_S4.csv,0.0001
284,24,-5.6525,accuracy,5.0,left,v,data_S4.csv,0.0001
285,25,0.0053,accuracy,1.0,left,v,data_S4.csv,0.0001
286,26,0.5925,accuracy,1.0,right,v,data_S4.csv,0.0001
287,27,-0.1372,accuracy,2.0,left,v,data_S4.csv,0.0001
288,28,4.2155,accuracy,4.0,right,v,data_S4.csv,0.0001
289,29,-1.3188,accuracy,3.0,left,v,data_S4.csv,0.0001
290,1,0.4652,,,,zr,data_S1.csv,0.0
291,2,0.8801,accuracy,,,a,data_S1.csv,0.0
292,3,7.5506,accuracy,5.0,right,v,data_S1.csv,0.0
293,4,0.2739,accuracy,,,t0,data_S1.csv,0.0
294,5,0.1514,accuracy,,,szr,data_S1.csv,0.0
295,6,0.5697,,,,sv,data_S1.csv,0.0
296,7,0.079,,,,st0,data_S1.csv,0.0
297,8,0.4727,accuracy,2.0,left,v,data_S1.csv,0.0
298,9,-4.0881,accuracy,4.0,left,v,data_S1.csv,0.0
299,10,-7.3976,accuracy,5.0,left,v,data_S1.csv,0.0
300,11,4.6429,accuracy,4.0,right,v,data_S1.csv,0.0
301,12,3.0295,accuracy,3.0,right,v,data_S1.csv,0.0
302,13,0.901,accuracy,1.0,left,v,data_S1.csv,0.0
303,14,1.7064,accuracy,2.0,right,v,data_S1.csv,0.0
304,15,-1.0756,accuracy,3.0,left,v,data_S1.csv,0.0
305,16,1.9528,accuracy,1.0,right,v,data_S1.csv,0.0
306,17,0.7375,speed,,,a,data_S1.csv,0.0
307,18,-0.5084,speed,3.0,left,v,data_S1.csv,0.0
308,19,0.2015,speed,,,t0,data_S1.csv,0.0
309,20,0.4169,speed,,,szr,data_S1.csv,0.0
310,21,1.8956,speed,2.0,right,v,data_S1.csv,0.0
311,22,5.0311,speed,5.0,right,v,data_S1.csv,0.0
312,23,1.1699,speed,1.0,left,v,data_S1.csv,0.0
313,24,0.9515,speed,2.0,left,v,data_S1.csv,0.0
314,25,-4.0143,speed,5.0,left,v,data_S1.csv,0.0
315,26,1.675,speed,1.0,right,v,data_S1.csv,0.0
316,27,3.117,speed,3.0,right,v,data_S1.csv,0.0
317,28,-2.5097,speed,4.0,left,v,data_S1.csv,0.0
318,29,3.9373,speed,4.0,right,v,data_S1.csv,0.0
319,1,0.4412,,,,zr,data_S13.csv,0.0
320,2,1.0164,accuracy,,,a,data_S13.csv,0.0
321,3,0.9908,accuracy,1.0,right,v,data_S13.csv,0.0
322,4,0.2158,accuracy,,,t0,data_S13.csv,0.0
323,5,0.3332,accuracy,,,szr,data_S13.csv,0.0
324,6,0.2076,,,,sv,data_S13.csv,0.0
325,7,0.1009,,,,st0,data_S13.csv,0.0
326,8,1.4925,accuracy,2.0,right,v,data_S13.csv,0.0
327,9,0.9561,accuracy,1.0,left,v,data_S13.csv,0.0
328,10,0.207,accuracy,2.0,left,v,data_S13.csv,0.0
329,11,-1.0415,accuracy,3.0,left,v,data_S13.csv,0.0
330,12,-3.5001,accuracy,4.0,left,v,data_S13.csv,0.0
331,13,2.2161,accuracy,3.0,right,v,data_S13.csv,0.0
332,14,3.2127,accuracy,4.0,right,v,data_S13.csv,0.0
333,15,3.9226,accuracy,5.0,right,v,data_S13.csv,0.0
334,16,-3.7313,accuracy,5.0,left,v,data_S13.csv,0.0
