,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
232,23,-0.3544,speed,2.0,right,v,data_S9.csv,0.0
233,24,3.6288,speed,4.0,right,v,data_S9.csv,0.0
234,25,-2.455,speed,3.0,left,v,data_S9.csv,0.0
235,26,-4.4031,speed,4.0,left,v,data_S9.csv,0.0
236,27,-0.6587,speed,1.0,left,v,data_S9.csv,0.0
237,28,-1.366,speed,2.0,left,v,data_S9.csv,0.0
238,29,5.4659,speed,5.0,right,v,data_S9.csv,0.0
239,30,-6.1671,speed,5.0,left,v,data_S9.csv,0.0
240,1,0.5263,,,,zr,data_S2.csv,0.0
241,2,0.8364,speed,,,a,data_S2.csv,0.0
242,3,0.9651,speed,2.0,right,v,data_S2.csv,0.0
243,4,0.3026,speed,,,t0,data_S2.csv,0.0
244,5,0.0201,,,,d,data_S2.csv,0.0
245,6,0.537,speed,,,szr,data_S2.csv,0.0
246,7,0.481,,,,sv,data_S2.csv,0.0
247,8,0.0829,,,,st0,data_S2.csv,0.0
248,9,-0.0368,speed,2.0,left,v,data_S2.csv,0.0
249,10,0.2074,speed,1.0,right,v,data_S2.csv,0.0
250,11,3.4968,speed,4.0,right,v,data_S2.csv,0.0
251,12,2.2801,speed,3.0,right,v,data_S2.csv,0.0
252,13,6.6644,speed,5.0,right,v,data_S2.csv,0.0
253,14,-0.8756,speed,3.0,left,v,data_S2.csv,0.0
254,15,0.4585,speed,1.0,left,v,data_S2.csv,0.0
255,16,-2.6048,speed,4.0,left,v,data_S2.csv,0.0
256,17,-4.3743,speed,5.0,left,v,data_S2.csv,0.0
257,18,1.1178,accuracy,,,a,data_S2.csv,0.0
258,19,0.9932,accuracy,2.0,right,v,data_S2.csv,0.0
259,20,0.3433,accuracy,,,t0,data_S2.csv,0.0
260,21,0.117,accuracy,,,szr,data_S2.csv,0.0
261,22,5.4137,accuracy,5.0,right,v,data_S2.csv,0.0
262,23,-4.0503,accuracy,4.0,left,v,data_S2.csv,0.0
263,24,1.9867,accuracy,3.0,right,v,data_S2.csv,0.0
