,level_0,value,SAT,p_right,stimulus,parameter,participant,fit
220,13,-2.1699,,,left,v,data_S13.csv,0.0
221,14,1.2006,accuracy,,,a,data_S13.csv,0.0
222,15,0.3773,accuracy,,,t0,data_S13.csv,0.0
223,16,0.2475,accuracy,,,szr,data_S13.csv,0.0
224,1,0.5,accuracy,30.0,,zr,data_S14.csv,0.0
225,2,0.4545,accuracy,50.0,,zr,data_S14.csv,0.0
226,3,0.6136,accuracy,70.0,,zr,data_S14.csv,0.0
227,4,0.5,speed,30.0,,zr,data_S14.csv,0.0
228,5,0.5909,speed,70.0,,zr,data_S14.csv,0.0
229,6,0.5909,speed,50.0,,zr,data_S14.csv,0.0
230,7,1.315,accuracy,,,a,data_S14.csv,0.0
231,8,-2.6832,,,left,v,data_S14.csv,0.0
232,9,0.4529,accuracy,,,t0,data_S14.csv,0.0
233,10,0.539,accuracy,,,szr,data_S14.csv,0.0
234,11,0.8303,,,,sv,data_S14.csv,0.0
235,12,0.1054,,,,st0,data_S14.csv,0.0
236,13,2.0098,,,right,v,data_S14.csv,0.0
237,14,0.6729,speed,,,a,data_S14.csv,0.0
238,15,0.3149,speed,,,t0,data_S14.csv,0.0
239,16,0.1828,speed,,,szr,data_S14.csv,0.0
240,1,0.5385,speed,30.0,,zr,data_S11.csv,0.0
241,2,0.5385,speed,50.0,,zr,data_S11.csv,0.0
242,3,0.3846,speed,70.0,,zr,data_S11.csv,0.0
243,4,0.4808,accuracy,70.0,,zr,data_S11.csv,0.0
244,5,0.4423,accuracy,30.0,,zr,data_S11.csv,0.0
245,6,0.4231,accuracy,50.0,,zr,data_S11.csv,0.0
246,7,0.7906,speed,,,a,data_S11.csv,0.0
247,8,3.0099,,,right,v,data_S11.csv,0.0
248,9,0.2864,speed,,,t0,data_S11.csv,0.0
249,10,0.4372,speed,,,szr,data_S11.csv,0.0
250,11,0.8816,,,,sv,data_S11.csv,0.0
251,12,0.1106,,,,st0,data_S11.csv,0.0
252,13,-0.4306,,,left,v,data_S11.csv,0.0
253,14,1.5156,accuracy,,,a,data_S11.csv,0.0
254,15,0.3041,accuracy,,,t0,data_S11.csv,0.0
255,16,0.1851,accuracy,,,szr,data_S11.csv,0.0
