,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
266,6,0.5055,,,,sv,data_S13_1.csv,0.0001
267,7,0.0884,,,,st0,data_S13_1.csv,0.0001
268,8,1.1258,accuracy,2.0,right,v,data_S13_1.csv,0.0001
269,9,0.4969,accuracy,1.0,left,v,data_S13_1.csv,0.0001
270,10,-0.026,accuracy,2.0,left,v,data_S13_1.csv,0.0001
271,11,-1.3135,accuracy,3.0,left,v,data_S13_1.csv,0.0001
272,12,-2.9496,accuracy,4.0,left,v,data_S13_1.csv,0.0001
273,13,2.3568,accuracy,3.0,right,v,data_S13_1.csv,0.0001
274,14,3.0291,accuracy,4.0,right,v,data_S13_1.csv,0.0001
275,15,3.919,accuracy,5.0,right,v,data_S13_1.csv,0.0001
276,16,-3.4489,accuracy,5.0,left,v,data_S13_1.csv,0.0001
277,17,0.8888,speed,,,a,data_S13_1.csv,0.0001
278,18,2.7515,speed,5.0,right,v,data_S13_1.csv,0.0001
279,19,0.2768,speed,,,t0,data_S13_1.csv,0.0001
280,20,0.4026,speed,,,szr,data_S13_1.csv,0.0001
281,21,0.5688,speed,1.0,right,v,data_S13_1.csv,0.0001
282,22,2.0629,speed,3.0,right,v,data_S13_1.csv,0.0001
283,23,4.4047,speed,4.0,right,v,data_S13_1.csv,0.0001
284,24,0.6624,speed,1.0,left,v,data_S13_1.csv,0.0001
285,25,-2.6506,speed,4.0,left,v,data_S13_1.csv,0.0001
286,26,-3.0144,speed,5.0,left,v,data_S13_1.csv,0.0001
287,27,1.2307,speed,2.0,right,v,data_S13_1.csv,0.0001
288,28,0.0805,speed,2.0,left,v,data_S13_1.csv,0.0001
289,29,-0.7959,speed,3.0,left,v,data_S13_1.csv,0.0001
290,1,0.5883,,,,zr,data_S11_1.csv,0.0015
291,2,1.0036,accuracy,,,a,data_S11_1.csv,0.0015
292,3,6.2282,accuracy,5.0,right,v,data_S11_1.csv,0.0015
293,4,0.2719,accuracy,,,t0,data_S11_1.csv,0.0015
294,5,0.3175,accuracy,,,szr,data_S11_1.csv,0.0015
295,6,1.588,,,,sv,data_S11_1.csv,0.0015
296,7,0.0662,,,,st0,data_S11_1.csv,0.0015
297,8,1.2208,accuracy,2.0,right,v,data_S11_1.csv,0.0015
298,9,5.7801,accuracy,4.0,right,v,data_S11_1.csv,0.0015
299,10,-5.2502,accuracy,5.0,left,v,data_S11_1.csv,0.0015
300,11,-0.0639,accuracy,1.0,left,v,data_S11_1.csv,0.0015
301,12,-3.8964,accuracy,4.0,left,v,data_S11_1.csv,0.0015
302,13,-0.5248,accuracy,2.0,left,v,data_S11_1.csv,0.0015
303,14,3.7899,accuracy,3.0,right,v,data_S11_1.csv,0.0015
304,15,-3.0419,accuracy,3.0,left,v,data_S11_1.csv,0.0015
305,16,0.5675,accuracy,1.0,right,v,data_S11_1.csv,0.0015
306,17,0.9674,speed,,,a,data_S11_1.csv,0.0015
307,18,4.6312,speed,5.0,right,v,data_S11_1.csv,0.0015
308,19,0.2551,speed,,,t0,data_S11_1.csv,0.0015
309,20,0.1839,speed,,,szr,data_S11_1.csv,0.0015
310,21,-3.3636,speed,4.0,left,v,data_S11_1.csv,0.0015
311,22,0.7594,speed,1.0,right,v,data_S11_1.csv,0.0015
312,23,3.9174,speed,4.0,right,v,data_S11_1.csv,0.0015
313,24,-4.8667,speed,5.0,left,v,data_S11_1.csv,0.0015
314,25,-2.1427,speed,3.0,left,v,data_S11_1.csv,0.0015
315,26,1.2109,speed,2.0,right,v,data_S11_1.csv,0.0015
316,27,0.0921,speed,1.0,left,v,data_S11_1.csv,0.0015
317,28,-0.2995,speed,2.0,left,v,data_S11_1.csv,0.0015
318,29,2.7388,speed,3.0,right,v,data_S11_1.csv,0.0015
319,1,0.5,,,,zr,data_S14_1.csv,0.0
320,2,0.9081,speed,,,a,data_S14_1.csv,0.0
321,3,-3.0972,speed,5.0,left,v,data_S14_1.csv,0.0
322,4,0.2257,speed,,,t0,data_S14_1.csv,0.0
323,5,0.042,speed,,,szr,data_S14_1.csv,0.0
324,6,0.4934,,,,sv,data_S14_1.csv,0.0
325,7,0.0956,,,,st0,data_S14_1.csv,0.0
326,8,3.0943,speed,4.0,right,v,data_S14_1.csv,0.0
327,9,0.3587,speed,2.0,right,v,data_S14_1.csv,0.0
328,10,0.8817,speed,3.0,right,v,data_S14_1.csv,0.0
329,11,-0.7109,speed,1.0,left,v,data_S14_1.csv,0.0
330,12,4.1474,speed,5.0,right,v,data_S14_1.csv,0.0
331,13,-0.9926,speed,2.0,left,v,data_S14_1.csv,0.0
332,14,-2.2398,speed,3.0,left,v,data_S14_1.csv,0.0
333,15,0.1129,speed,1.0,right,v,data_S14_1.csv,0.0
334,16,-2.4726,speed,4.0,left,v,data_S14_1.csv,0.0
335,17,1.2526,accuracy,,,a,data_S14_1.csv,0.0
336,18,-0.5553,accuracy,2.0,left,v,data_S14_1.csv,0.0
337,19,0.3075,accuracy,,,t0,data_S14_1.csv,0.0
338,20,0.3121,accuracy,,,szr,data_S14_1.csv,0.0
339,21,-3.64,accuracy,4.0,left,v,data_S14_1.csv,0.0
340,22,0.9237,accuracy,2.0,right,v,data_S14_1.csv,0.0
341,23,1.5718,accuracy,3.0,right,v,data_S14_1.csv,0.0
342,24,-5.3177,accuracy,5.0,left,v,data_S14_1.csv,0.0
343,25,-1.775,accuracy,3.0,left,v,data_S14_1.csv,0.0
344,26,0.3658,accuracy,1.0,right,v,data_S14_1.csv,0.0
345,27,-0.0651,accuracy,1.0,left,v,data_S14_1.csv,0.0
346,28,4.7296,accuracy,5.0,right,v,data_S14_1.csv,0.0
347,29,3.5184,accuracy,4.0,right,v,data_S14_1.csv,0.0
348,1,0.5,,,,zr,data_S7_1.csv,0.0
349,2,0.773,speed,,,a,data_S7_1.csv,0.0
350,3,-0.4055,speed,1.0,left,v,data_S7_1.csv,0.0
351,4,0.3162,speed,,,t0,data_S7_1.csv,0.0
352,5,0.4995,speed,,,szr,data_S7_1.csv,0.0
353,6,0.5573,,,,sv,data_S7_1.csv,0.0
354,7,0.1362,,,,st0,data_S7_1.csv,0.0
355,8,-0.3544,speed,2.0,left,v,data_S7_1.csv,0.0
356,9,-0.129,speed,1.0,right,v,data_S7_1.csv,0.0
357,10,0.165,speed,2.0,right,v,data_S7_1.csv,0.0
358,11,-1.4574,speed,3.0,left,v,data_S7_1.csv,0.0
359,12,1.3132,speed,3.0,right,v,data_S7_1.csv,0.0
360,13,-2.6331,speed,4.0,left,v,data_S7_1.csv,0.0
361,14,-2.6399,speed,5.0,left,v,data_S7_1.csv,0.0
362,15,2.6765,speed,4.0,right,v,data_S7_1.csv,0.0
363,16,4.4707,speed,5.0,right,v,data_S7_1.csv,0.0
364,17,1.171,accuracy,,,a,data_S7_1.csv,0.0
365,18,1.8256,accuracy,3.0,right,v,data_S7_1.csv,0.0
366,19,0.3518,accuracy,,,t0,data_S7_1.csv,0.0
367,20,0.2153,accuracy,,,szr,data_S7_1.csv,0.0
368,21,5.3766,accuracy,5.0,right,v,data_S7_1.csv,0.0
369,22,-0.4921,accuracy,2.0,left,v,data_S7_1.csv,0.0
370,23,0.069,accuracy,1.0,right,v,data_S7_1.csv,0.0
371,24,0.4186,accuracy,2.0,right,v,data_S7_1.csv,0.0
372,25,-2.1004,accuracy,3.0,left,v,data_S7_1.csv,0.0
373,26,-0.1401,accuracy,1.0,left,v,data_S7_1.csv,0.0
374,27,-3.1058,accuracy,4.0,left,v,data_S7_1.csv,0.0
375,28,4.1415,accuracy,4.0,right,v,data_S7_1.csv,0.0
376,29,-5.1702,accuracy,5.0,left,v,data_S7_1.csv,0.0
377,1,0.525,,,,zr,data_S4_1.csv,0.0005
378,2,1.0348,speed,,,a,data_S4_1.csv,0.0005
379,3,6.4958,speed,4.0,right,v,data_S4_1.csv,0.0005
380,4,0.2656,speed,,,t0,data_S4_1.csv,0.0005
381,5,0.3343,speed,,,szr,data_S4_1.csv,0.0005
382,6,0.4816,,,,sv,data_S4_1.csv,0.0005
383,7,0.0383,,,,st0,data_S4_1.csv,0.0005
384,8,-6.0807,speed,5.0,left,v,data_S4_1.csv,0.0005
385,9,0.5591,speed,1.0,right,v,data_S4_1.csv,0.0005
386,10,-4.1072,speed,4.0,left,v,data_S4_1.csv,0.0005
387,11,8.0912,speed,5.0,right,v,data_S4_1.csv,0.0005
388,12,-2.3854,speed,3.0,left,v,data_S4_1.csv,0.0005
389,13,-0.7333,speed,2.0,left,v,data_S4_1.csv,0.0005
390,14,-0.0304,speed,1.0,left,v,data_S4_1.csv,0.0005
391,15,3.3624,speed,3.0,right,v,data_S4_1.csv,0.0005
392,16,1.3188,speed,2.0,right,v,data_S4_1.csv,0.0005
393,17,1.1961,accuracy,,,a,data_S4_1.csv,0.0005
394,18,5.2297,accuracy,5.0,right,v,data_S4_1.csv,0.0005
395,19,0.2721,accuracy,,,t0,data_S4_1.csv,0.0005
396,20,0.0,accuracy,,,szr,data_S4_1.csv,0.0005
397,21,2.9158,accuracy,3.0,right,v,data_S4_1.csv,0.0005
398,22,-3.7755,accuracy,4.0,left,v,data_S4_1.csv,0.0005
399,23,1.0702,accuracy,2.0,right,v,data_S4_1.csv,0.0005
